CaseID;Activities;activities_similar
1-316086072;410146143;False
1-320604521;453;False
1-322204195;1461146463;False
1-322581861;453;False
1-323462732;404044043;False
1-327329880;46443;False
1-329451027;6514600643;False
1-329647261;461446063;False
1-330634474;401463;False
1-331478885;4400043;False
1-332389008;146463;False
1-333164156;4410064141043;False
1-335260940;41453;False
1-337229341;5043;False
1-340984229;453;False
1-341002175;643;False
1-345132462;4606443;False
1-347923966;404043;False
1-354039443;44043;False
1-354090772;46414060063;False
1-354350908;6443;False
1-354376900;6443;False
1-356055231;46146063;False
1-356879617;4144444043;False
1-358038911;454643;False
1-359215498;40063;False
1-359841262;4414140443;False
1-360072755;0140643;False
1-363206822;441443;False
1-364018090;4414443;False
1-365052802;401453;False
1-365189372;4543;False
1-366698569;4446004043;False
1-366726662;4446063;False
1-366923538;41414043;False
1-367921041;414114040643;False
1-368322765;4140140614043;False
1-369989135;444043;False
1-370452680;41401463;False
1-372029512;45146063;False
1-372555278;41404414063;False
1-372978779;44414043;False
1-374832944;14114043;False
1-375644051;46414143;False
1-377083756;4140464144043;False
1-378050311;14004414143434143;False
1-378744625;41014043;False
1-378976624;4140100143;False
1-379789104;46464643;False
1-380392616;414040614043;False
1-380527184;414040414043;False
1-380632889;41460643;False
1-380885044;4643443;False
1-382209384;44043;False
1-382442048;4146043;False
1-384097130;44110400004604063;False
1-384757914;41404341014043;False
1-385201933;4100463;False
1-386782865;4140443;False
1-388028918;414010614043;False
1-388230583;41401014443;False
1-389195082;41404604014043;False
1-390250582;4146404004043;False
1-390819078;414010614043;False
1-399628501;400606043;False
1-400528782;43443;False
1-402612770;4140040463;False
1-403006315;414040614043;False
1-404736991;414141414464643;False
1-405112616;400463;False
1-405248961;414004063;False
1-406010922;40401043;False
1-406066421;414604643;False
1-407737529;4140403;False
1-413205820;441403;False
1-415000020;41414643;False
1-415822336;4614614614643;False
1-417868043;414044104614104043;False
1-418890453;43443;False
1-419236954;414640043;False
1-422418092;41404043;False
1-423751353;4140104140144400414043;False
1-427498853;4140043;False
1-427955007;46463;False
1-429498598;44063;False
1-429979181;414010604614043;False
1-430150814;44046063;False
1-432419251;4140043;False
1-433309965;411401046414043;False
1-433710534;110143;False
1-433910332;46646400443;False
1-434892089;464663;False
1-454389870;404340463;False
1-467257506;4614043;False
1-473084325;4114461411001463;False
1-475885658;40634146114141461414341414063;False
1-498324124;400660663;False
1-499540955;41401406143;False
1-501925116;4140410614043;False
1-502769178;4461063;False
1-506108491;4603;False
1-506866218;643;False
1-508044897;41146143;False
1-510142147;440043;False
1-512617571;400463;False
1-515834995;46044046463;False
1-516141293;41114441404043;False
1-517399487;4140100614043;False
1-519054737;44463;False
1-519065883;441441463;False
1-519085985;4140100614043;False
1-519167681;4614341414346464043;False
1-522949376;4146063;False
1-524169663;4441140663;False
1-524375607;00043;False
1-525132931;44043;False
1-529471141;61443;False
1-530147896;41401014043;False
1-530568802;4140410414043;False
1-531872604;461440043;False
1-534020390;44043;False
1-534493180;40063;False
1-535052125;46414141414043;False
1-536299706;4140104114043;False
1-537169872;4101043;False
1-538109148;4000443;False
1-538297321;014043;False
1-538467021;41043;False
1-540549141;466063;False
1-540549178;46063;False
1-540549229;46063;False
1-540631861;41140406063;False
1-540947390;41043;False
1-541088014;6043;False
1-542027112;4404463;False
1-542568265;441400643;False
1-542940765;4410041043;False
1-543227320;41404643;False
1-543653631;4066043;False
1-544020953;400440463;False
1-545370610;41401046143;False
1-545911672;4141043;False
1-546272906;46063;False
1-546838031;44141463;False
1-547617088;40063;False
1-550036329;41146043;False
1-553276916;43443;False
1-560246371;441463;False
1-560404489;414146444441463;False
1-560504546;41460643;False
1-562778111;1103;False
1-563477371;414414141463;False
1-563779807;404643;False
1-565807612;4606063;False
1-572078531;41414443;False
1-572330175;411143;False
1-572730349;46443;False
1-573501251;4410463;False
1-573830584;440400043;False
1-574222268;40000043;False
1-574466092;4141401443;False
1-574663931;42403;False
1-576667260;4110643;False
1-576984464;41111041114663;False
1-577737791;141464643;False
1-577996886;411111041443;False
1-578105842;4141143;False
1-578612990;4410043;False
1-579425746;414610146061463;False
1-579425846;411043;False
1-580464971;41414443;False
1-581815727;41043;False
1-581898739;414146141434443;False
1-584861543;46143;False
1-585459725;400643;False
1-585469859;4634114401143;False
1-585714932;4146043;False
1-586562664;41464043;False
1-587038802;410463;False
1-588712865;411463;False
1-590262446;141443;False
1-590574771;14343;False
1-592390567;464643;False
1-594093101;6461143;False
1-594472343;6043;False
1-595293983;14343;False
1-595687232;44043;False
1-596580941;414463;False
1-597231167;4446143;False
1-597580752;44463;False
1-599626401;1043;False
1-600506847;414114410144143;False
1-601819090;44043;False
1-602316153;61463;False
1-602316215;643;False
1-602870173;4141464140434140143;False
1-603537274;460063;False
1-604645912;4141443;False
1-604882241;41414143;False
1-605184371;4060463;False
1-606068287;4111463;False
1-606971198;444043;False
1-608036754;114643;False
1-613364032;44614143;False
1-616211466;46114643;False
1-616288482;4460403;False
1-617042441;41414043;False
1-617356985;4346143;False
1-617470131;4610443;False
1-617696569;434343;False
1-618143224;41043;False
1-618350811;46464646464646464644141461461141443;False
1-618764275;40464043;False
1-618859631;414614343;False
1-619053302;414044043;False
1-619109941;414141461414140463;False
1-619146141;1414663;False
1-619550849;4141441463;False
1-619589599;14140414143;False
1-619699161;414340043;False
1-620483711;4141403;False
1-621061021;441063;False
1-621311061;434434343;False
1-621393223;41100143;False
1-622154016;44414146014464143;False
1-622156083;41043;False
1-623626713;46463;False
1-623792185;41414643;False
1-623873811;4141434063463;False
1-624403918;46141446343;False
1-626292231;446343;False
1-626510640;46464643;False
1-627163101;464443;False
1-627190551;4346463;False
1-628203323;4404643;False
1-631117870;466146143;False
1-636080278;41411414143;False
1-636102195;461063;False
1-636852199;0043;False
1-636931254;4441414341443404343;False
1-637089310;4044343;False
1-638091067;434614043;False
1-639930880;4141443;False
1-640093069;41434143;False
1-640254885;414343;False
1-640387614;4414241463;False
1-641232069;4141043;False
1-641243011;404043;False
1-642579219;441043;False
1-643685396;434343;False
1-643809664;414601043;False
1-648105181;643;False
1-650081295;44603;False
1-652195634;4141414114143;False
1-653989471;41414141403;False
1-654056225;43434343;False
1-654403938;411143;False
1-655235043;4643463;False
1-657063150;414140140443;False
1-657412381;14343;False
